,concentration,T2_C_conc,T2_C_err_conc,T2_C_trueerr_conc
52,2.195959595959596,0.46272297203900625,0.0148971332826291,0.13541772257311607
53,2.2343434343434345,0.26076230940471007,0.007585123440386408,0.07550314154897238
54,2.272727272727273,0.3597130301051861,0.003977936466878774,0.09766860882037755
55,2.3111111111111113,0.26522387310488715,0.012965532018001876,0.08204560673236419
56,2.3494949494949493,0.279590920939844,0.004832232865816797,0.0776543415315163
57,2.3878787878787877,0.3660285724185619,0.005907057106789249,0.10124267239005658
58,2.426262626262626,0.35391919314355563,0.00897097931204604,0.10115259184560173
59,2.4646464646464645,0.2073555390034033,0.008497498233482238,0.06250521616288315
60,2.503030303030303,0.2923194101238399,0.009352625038120019,0.08548998950465635
61,2.5414141414141413,0.36758279202142785,0.007014668585834701,0.10275509511415176
62,2.5797979797979798,0.28458794346553257,0.0038414895574649826,0.07796512016152862
63,2.618181818181818,0.20376217250688688,0.005337159368360705,0.05840895089283626
64,2.6565656565656566,0.1766285026886927,0.008639769070393656,0.05464433879325397
65,2.694949494949495,0.2112768368073538,0.009863365024519085,0.06489242217992187
66,2.7333333333333334,0.2080546086789913,0.007521872559255244,0.061711669819806976
67,2.771717171717172,0.22658580952822868,0.0018175991832537319,0.060834023565361446
68,2.81010101010101,0.21459289565918216,0.008962147725467844,0.0648549038780983
69,2.8484848484848486,0.3169231634201707,0.0035693122055336863,0.08611495770675699
70,2.886868686868687,0.30645611707128956,0.006734624257295238,0.0865540282050915
71,2.9252525252525254,0.20498129323735248,0.006711958172892467,0.06010128126102588
72,2.963636363636364,0.22712607376300753,0.00950481048411114,0.06866195181325349
73,3.002020202020202,0.10768488636503899,0.006634566472438606,0.03468211705157777
74,3.04040404040404,0.1779445605753905,0.004339843326505674,0.05068719281529435
75,3.0787878787878786,0.29040538316857534,0.006755343458368452,0.08239418144036512
76,3.117171717171717,0.19611783997183507,0.005561937190738077,0.05664268976204226
77,3.1555555555555554,0.19074966076666933,0.0082116364567392,0.05789419581024702
